question_id,question,truth,prediction,f1,sementic_similarity,tokens_length,isdigit,num_entities,config_id,retriever_id,answer_model_id,question_type_id,Chunk_size,Chunk_overlap,k,Reranker,result,reward,good
53,When did Beyonce start becoming popular?,in the late 1990s,late 1990s,0.266666667,0.937185884,6,FALSE,1,0,1,1,1,400,100,3,FALSE,0.736030119,0.736030119,1
30,What areas did Beyonce compete in when she was growing up?,singing and dancing,singing and dancing,0.333333333,1,11,FALSE,0,0,1,1,1,400,100,3,FALSE,0.8,0.8,1
52,When did Beyonce leave Destiny's Child and become a solo singer?,2003,2003,1,1,10,FALSE,2,0,1,1,1,400,100,3,FALSE,1,1,1
22,In what city and state did Beyonce  grow up? ,"Houston, Texas",Texas,0.333333333,0.770842791,9,FALSE,1,0,1,1,2,400,100,3,FALSE,0.639589954,0.639589954,0
24,In which decade did Beyonce become famous?,late 1990s,1990s,0.333333333,0.936849892,7,FALSE,1,0,1,1,2,400,100,3,FALSE,0.755794924,0.755794924,1
21,In what R&B group was she the lead singer?,Destiny's Child,Destiny's Child,0.5,1.000000119,8,FALSE,1,0,1,1,2,400,100,3,FALSE,0.850000083,0.850000083,1
29,What album made her a worldwide known artist?,Dangerously in Love,Dangerously in Love,0.333333333,1,7,FALSE,0,0,1,1,1,400,100,3,FALSE,0.8,0.8,1
67,Who managed the Destiny's Child group?,Mathew Knowles,Mathew Knowles,0.5,0.99999994,5,FALSE,1,0,1,1,1,400,100,3,FALSE,0.849999958,0.849999958,1
56,When did Beyoncé rise to fame?,late 1990s,late 1990s,0.5,1.000000119,6,FALSE,0,0,1,1,1,400,100,3,FALSE,0.850000083,0.850000083,1
42,What role did Beyoncé have in Destiny's Child?,lead singer,lead singer,0.5,1,8,FALSE,3,0,1,1,1,400,100,3,FALSE,0.85,0.85,1
47,What was the first album Beyoncé released as a solo artist?,Dangerously in Love,Dangerously in Love,0.333333333,1,9,FALSE,2,0,1,1,1,400,100,3,FALSE,0.8,0.8,1
